Name|Exeggcute
Number|102
ExperienceType|3
BaseExperience|65
Type1|Grass
Type2|Psychic
CatchRate|90
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|102
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|34
Ability2|Nothing
HiddenAbility|139
EggMoves|246,335,174,202,580,275,437,381,236,363,267,384,285,235,244,115,72
Machines|174,205,92,244,237,241,173,63,182,202,203,218,76,216,94,104,207,214,188,138,197,156,213,168,171,36,99,100,102,115,117,120,121,149,153,164,331,113,263,290,285,412,416,445,363,447,433,496,611,267,590,70,148
BaseHP|60
BaseAttack|40
BaseDefense|80
BaseSpAttack|60
BaseSpDefense|45
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Their shells are very durable. Even if they crack, they can survive without spilling their contents.\Egg Pokémon\2.5\0.4\0,148,0
Scale|0.7
Move|1,140
Move|1,253
Move|1,95
Move|7,115
Move|11,73
Move|17,331
Move|19,78
Move|21,77
Move|23,79
Move|27,93
Move|33,388
Move|37,363
Move|43,76
Move|47,326
Move|50,516
TradeValue|20
EvolutionCondition|103,item,34,item
