Name|Clefable
Number|36
ExperienceType|0
BaseExperience|213
Type1|Fairy
Type2|
CatchRate|25
BaseFriendship|140
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|2805
EggPokemon|173
Devolution|35
IsGenderLess|0
IsMale|25
Ability1|56
Ability2|98
HiddenAbility|109
EggMoves|133,312,187,343,313,505,118,102,581,217,150,500,321,273,164
Machines|223,29,174,205,92,192,249,244,237,241,173,59,63,182,240,203,218,76,231,87,216,91,94,247,189,104,8,207,214,126,111,9,138,197,156,213,7,171,5,34,36,38,61,55,58,66,68,69,99,85,100,102,115,117,118,130,135,86,149,161,164,264,352,347,113,219,280,351,53,332,263,290,289,411,374,451,409,278,416,446,445,363,447,473,477,496,497,510,514,526,612,605,590,70,148
BaseHP|95
BaseAttack|70
BaseDefense|73
BaseSpAttack|95
BaseSpDefense|90
BaseSpeed|60
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.\Fairy Pokémon\40\1.3\0,148,0
Scale|1.12
Move|1,3
Move|1,47
Move|1,107
Move|1,118
Move|1,574
Item|1,149
Item|5,8
Item|50,2005
TradeValue|35
