Name|Wartortle
Number|8
ExperienceType|2
BaseExperience|142
Type1|Water
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Water1
BaseEggSteps|5355
EggPokemon|7
IsGenderLess|0
IsMale|87.5
Ability1|67
Ability2|Nothing
HiddenAbility|44
EggMoves|453,392,396,362,406,252,175,193,114,243,54,300,330,287,323,281
Machines|223,29,174,205,92,249,237,173,59,63,196,182,240,203,218,231,216,91,189,104,8,207,214,111,197,156,213,5,25,34,36,61,55,58,66,68,69,99,102,117,130,164,264,352,258,280,317,263,290,362,374,416,360,445,363,496,503,612,590,57,70,250,127,291
BaseHP|59
BaseAttack|63
BaseDefense|80
BaseSpAttack|65
BaseSpDefense|80
BaseSpeed|58
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.\Turtle Pokémon\22.5\1\0,148,0
Scale|1
Move|1,33
Move|1,39
Move|1,55
Move|4,39
Move|7,55
Move|10,110
Move|13,145
Move|16,44
Move|20,229
Move|24,182
Move|28,352
Move|32,401
Move|36,130
Move|40,334
Move|44,240
Move|48,56
EvolutionCondition|9,Level,36,Level
TradeValue|60
