Name|Kricketot
Number|401
ExperienceType|2
BaseExperience|39
Type1|Bug
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|401
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|50
Machines|
BaseHP|37
BaseAttack|25
BaseDefense|41
BaseSpAttack|25
BaseSpDefense|41
BaseSpeed|25
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When its antennae hit each other it sounds like the music of a xylophone.\Cricket Pokémon\2.2\0.3\0,148,0
Scale|0.7
Move|1,45
Move|1,117
Move|6,522
Move|16,450
TradeValue|20
