Name|Vespiquen
Number|416
ExperienceType|2
BaseExperience|166
Type1|Bug
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|415
IsGenderLess|0
CanBreed|1
Devolution|415
IsMale|0
Ability1|46
Ability2|Nothing
HiddenAbility|127
Machines|174,92,237,241,230,173,63,182,240,203,218,216,189,104,207,214,188,129,197,156,213,168,210,13,18,36,38,99,72,102,117,164,332,263,290,355,374,318,416,432,445,404,363,369,468,474,496,511,512,522,611,590,15,148
BaseHP|70
BaseAttack|80
BaseDefense|102
BaseSpAttack|80
BaseSpDefense|102
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It raises grubs in the holes in its body. It secretes pheromones to control COMBEE.\Beehive Pokémon\38.5\1.2\0,148,0
Scale|1.08
Move|1,565
Move|1,194
Move|1,230
Move|1,16
Move|1,40
Move|1,109
Move|5,210
Move|9,228
Move|13,154
Move|17,455
Move|21,163
Move|25,408
Move|29,456
Move|33,92
Move|37,403
Move|41,445
Move|45,454
Move|49,207
Move|53,194
Move|57,565
TradeValue|40
Item|5,81
