Name|Shiftry
Number|275
ExperienceType|2
BaseExperience|216
Type1|Grass
Type2|Dark
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|Grass
BaseEggSteps|4080
EggPokemon|273
IsGenderLess|0
CanBreed|1
Devolution|274
IsMale|50
Ability1|34
Ability2|48
HiddenAbility|124
EggMoves|133,251,331,432,492,580,73,417,384,98,13,36,388,206
Machines|174,205,92,249,244,237,241,230,173,63,196,182,202,203,218,76,216,189,104,207,214,129,111,197,156,213,210,13,18,34,36,38,66,69,99,72,102,117,120,130,164,331,332,263,290,411,412,206,318,373,416,432,445,399,363,447,490,496,555,267,612,590,15,70,148
BaseHP|90
BaseAttack|100
BaseDefense|60
BaseSpAttack|90
BaseSpDefense|60
BaseSpeed|80
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.\Wicked Pokémon\59.6\1.3\0,148,0
Scale|1.12
Move|1,185
Move|1,18
Move|1,417
Move|1,75
Move|19,536
Move|49,437
TradeValue|45
