Name|Seaking
Number|119
ExperienceType|1
BaseExperience|158
Type1|Water
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|118
IsGenderLess|0
CanBreed|1
Devolution|118
IsMale|50
Ability1|33
Ability2|41
HiddenAbility|31
EggMoves|401,34,114,56,341,189,300,60,324,130,214
Machines|174,92,237,173,59,63,196,182,240,203,218,216,104,207,214,129,197,156,213,32,36,38,61,55,58,99,102,117,130,164,352,258,263,290,416,445,363,398,496,503,590,57,250,127,291
BaseHP|80
BaseAttack|92
BaseDefense|65
BaseSpAttack|65
BaseSpDefense|80
BaseSpeed|68
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|During spawning season, Seaking gather from all over, coloring the rivers a brilliant red.\Goldfish Pokémon\39\1.3\0,148,0
Scale|1.12
Move|1,224
Move|1,398
Move|1,64
Move|1,39
Move|1,346
Move|1,48
Move|7,48
Move|11,30
Move|17,352
Move|21,175
Move|27,392
Move|31,31
Move|40,127
Move|47,32
Move|56,97
Move|63,487
Move|72,224
TradeValue|30
