Name|Octillery
Number|224
ExperienceType|1
BaseExperience|168
Type1|Water
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water2
BaseEggSteps|5355
EggPokemon|223
IsGenderLess|0
CanBreed|1
Devolution|223
IsMale|50
Ability1|21
Ability2|97
HiddenAbility|141
EggMoves|491,62,494,175,114,341,190,350,103,173,48,129,352,323,86
Machines|174,92,237,241,173,59,63,182,240,203,218,216,94,189,104,207,214,188,129,111,197,156,213,168,36,61,55,58,66,69,99,102,117,86,164,352,331,53,263,290,412,362,451,371,416,445,363,430,479,482,496,503,510,590,57,250,127,291
BaseHP|75
BaseAttack|105
BaseDefense|75
BaseSpAttack|105
BaseSpDefense|75
BaseSpeed|45
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head.\Jet Pokémon\28.5\0.9\0,148,0
Scale|0.96
Move|1,441
Move|1,350
Move|1,55
Move|1,132
Move|1,60
Move|1,62
Move|6,132
Move|10,60
Move|14,62
Move|18,61
Move|22,116
Move|25,190
Move|28,378
Move|34,324
Move|40,58
Move|46,331
Move|52,56
Move|58,63
Move|64,487
TradeValue|25
