Name|Mesprit
Number|481
ExperienceType|3
BaseExperience|261
Type1|Psychic
Type2|
CatchRate|3
BaseFriendship|140
EggGroup1|None
EggGroup2|None
BaseEggSteps|20655
EggPokemon|481
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,192,244,237,241,173,59,63,182,240,203,218,231,87,216,94,189,104,8,207,214,129,9,197,156,213,7,171,36,58,99,85,100,102,117,130,86,149,161,164,352,347,351,263,290,285,412,278,416,446,445,363,433,473,477,496,612,605,590,148
BaseHP|80
BaseAttack|105
BaseDefense|105
BaseSpAttack|105
BaseSpDefense|105
BaseSpeed|80
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|1
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This Pokémon is said to have endowed the human heart with emotions, such as sorrow and joy.\Emotion Pokémon\0.3\0.3\0,148,0
Scale|0.7
Move|1,361
Move|1,363
Move|1,383
Move|1,156
Move|1,93
Move|6,286
Move|16,182
Move|21,129
Move|31,381
Move|36,248
Move|46,204
Move|51,326
Move|61,383
Move|66,363
Move|76,361
TradeValue|85
