Name|Beartic
Number|614
ExperienceType|1
BaseExperience|170
Type1|Ice
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|613
IsGenderLess|0
CanBreed|1
Devolution|613
IsMale|50
Ability1|81
Ability2|Nothing
HiddenAbility|33
EggMoves|372,419,227,264,8,400,583,214,281
Machines|223,174,46,92,249,237,173,59,63,196,182,203,218,216,91,189,104,8,207,214,197,156,213,210,5,14,25,34,36,38,58,66,68,69,99,102,117,130,157,164,264,352,258,339,269,280,317,332,263,290,411,374,421,416,444,419,445,363,447,468,496,497,523,524,612,590,15,57,70,431,291
BaseHP|95
BaseAttack|110
BaseDefense|80
BaseSpAttack|70
BaseSpDefense|80
BaseSpeed|50
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They love the cold seas of the north. They create pathways around the ocean waters by freezing their own breath.\Freezing Pokémon\260\2.6\0,148,0
Scale|1.64
Move|1,329
Move|1,37
Move|1,276
Move|1,453
Move|1,45
Move|1,181
Move|1,117
Move|1,196
Move|9,589
Move|13,196
Move|17,154
Move|21,362
Move|25,203
Move|29,207
Move|33,163
Move|36,175
Move|37,556
Move|41,156
Move|45,59
Move|53,258
Move|59,37
Move|66,329
TradeValue|65
Item|5,2004
