Name|Surskit
Number|283
ExperienceType|1
BaseExperience|54
Type1|Bug
Type2|Water
CatchRate|200
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Bug
BaseEggSteps|4080
EggPokemon|283
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|33
Ability2|Nothing
HiddenAbility|44
EggMoves|453,450,203,565,193,56,170,341,471,60,324
Machines|174,92,244,237,241,173,59,63,196,182,240,202,203,218,76,216,247,189,104,207,214,129,197,156,213,168,61,55,58,99,72,102,117,164,352,263,290,416,445,363,496,503,522,611,590,148
BaseHP|40
BaseAttack|30
BaseDefense|32
BaseSpAttack|50
BaseSpDefense|52
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It secretes a thick syrup from the tip of its head. It lives on weed-choked ponds.\Pond Skater Pokémon\1.7\0.5\0,148,0
Scale|0.7
Move|1,145
Move|7,98
Move|13,230
Move|19,346
Move|25,61
Move|31,97
Move|37,54
Move|37,114
Move|43,226
Move|46,564
TradeValue|30
EvolutionCondition|284,level,22,level
