Name|Altaria
Number|334
ExperienceType|1
BaseExperience|172
Type1|Dragon
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|333
IsGenderLess|0
CanBreed|1
Devolution|333
IsMale|50
Ability1|30
Ability2|Nothing
HiddenAbility|13
EggMoves|97,407,297,114,304,384,228,99,355,211
Machines|174,46,92,249,244,237,241,173,63,182,240,203,218,76,231,225,216,189,104,207,214,126,129,138,197,156,213,168,211,13,18,34,36,58,99,82,102,117,130,143,164,337,219,53,332,263,290,355,406,416,445,363,365,468,496,497,510,523,605,590,19
TutorMoves|434
BaseHP|75
BaseAttack|70
BaseDefense|90
BaseSpAttack|70
BaseSpDefense|105
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.\Humming Pokémon\20.6\1.1\0,148,0
Scale|1.04
Move|1,143
Move|1,365
Move|1,64
Move|1,45
Move|1,310
Move|1,47
Move|4,310
Move|8,47
Move|10,31
Move|13,219
Move|15,54
Move|18,496
Move|21,363
Move|25,36
Move|29,287
Move|34,349
Move|35,225
Move|42,538
Move|48,406
Move|57,195
Move|60,585
Move|64,143
TradeValue|45
