Name|Floette
Number|670
ExperienceType|1
BaseExperience|130
Type1|Fairy
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|5355
EggPokemon|669
IsGenderLess|0
CanBreed|1
Devolution|669
IsMale|0
Ability1|166
Ability2|Nothing
HiddenAbility|180
EggMoves|293,445,383
Machines|174,92,237,241,230,173,63,182,240,202,203,218,76,216,94,104,207,214,197,156,213,171,99,72,102,117,118,164,347,219,263,290,412,416,445,363,447,496,497,267,605,590,148
BaseHP|54
BaseAttack|45
BaseDefense|47
BaseSpAttack|75
BaseSpDefense|98
BaseSpeed|52
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the power of flowers to battle.\Single Bloom Pokémon\0.9\0.2\0,148,0
Scale|0.2
Move|1,33
Move|1,22
Move|6,584
Move|10,381
Move|15,75
Move|20,273
Move|25,345
Move|27,580
Move|33,572
Move|38,312
Move|43,581
Move|46,585
Move|51,80
Move|58,76
TradeValue|40
EvolutionCondition|671,item,135,item
