Name|Nidoking
Number|34
ExperienceType|2
BaseExperience|223
Type1|Poison
Type2|Ground
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|32
IsGenderLess|0
IsMale|100
Ability1|38
Ability2|79
HiddenAbility|125
EggMoves|133,251,498,93,68,50,203,457,231,342,389,48,36,599
Machines|223,29,174,46,92,249,237,241,173,59,63,196,182,240,203,218,231,87,89,216,91,247,189,104,8,207,214,188,201,126,111,9,197,156,213,168,7,210,5,32,34,36,38,61,55,58,6,66,68,69,99,85,90,102,117,130,157,164,264,337,352,269,280,351,53,317,259,263,290,411,374,406,421,416,444,419,446,445,363,398,468,474,479,482,496,497,510,511,523,525,612,590,15,57,70,250,431,560
BaseHP|81
BaseAttack|102
BaseDefense|77
BaseSpAttack|85
BaseSpDefense|75
BaseSpeed|85
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body.\Drill Pokémon\62\1.4\0,148,0
Scale|1.16
Move|1,24
Move|1,40
Move|1,64
Move|1,116
Move|1,224
Move|23,498
Move|35,37
Move|43,414
Move|58,224
TradeValue|50
