Name|Slakoth
Number|287
ExperienceType|3
BaseExperience|56
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|287
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|54
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|495,34,306,174,359,400,228,163,214,173,321
Machines|223,174,92,249,237,241,173,59,63,196,182,240,203,218,76,87,216,247,189,104,8,207,214,126,9,197,156,213,7,210,5,25,34,36,38,61,55,58,68,69,99,85,102,117,130,157,164,264,352,339,280,351,53,317,332,263,290,374,421,416,445,363,468,490,496,510,514,526,612,590,15,70
BaseHP|60
BaseAttack|60
BaseDefense|60
BaseSpAttack|35
BaseSpDefense|35
BaseSpeed|30
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The way SLAKOTH lolls around makes anyone who watches it feel like doing the same.\Slacker Pokémon\24\0.8\0,148,0
Scale|0.92
Move|1,10
Move|1,281
Move|7,227
Move|13,303
Move|19,185
Move|25,133
Move|31,343
Move|37,498
Move|43,68
Move|49,175
TradeValue|15
EvolutionCondition|288,level,18,level
