Name|Watchog
Number|505
ExperienceType|1
BaseExperience|147
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|504
IsGenderLess|0
CanBreed|1
Devolution|504
IsMale|50
Ability1|35
Ability2|51
HiddenAbility|148
EggMoves|372,193,175,231,228,279,103
Machines|223,174,205,92,249,244,237,241,173,63,182,240,203,218,231,87,216,91,247,189,104,8,207,214,129,111,138,197,156,213,7,210,171,5,14,34,36,38,6,66,68,69,99,85,102,117,118,130,86,164,264,352,113,351,53,263,290,411,374,416,445,363,447,496,514,526,612,590,15,70,148,431
BaseHP|60
BaseAttack|85
BaseDefense|69
BaseSpAttack|60
BaseSpDefense|69
BaseSpeed|77
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.\Lookout Pokémon\27\1.1\0,148,0
Scale|1.04
Move|1,563
Move|1,33
Move|1,43
Move|1,44
Move|1,67
Move|3,43
Move|6,44
Move|8,117
Move|11,197
Move|16,242
Move|18,95
Move|20,109
Move|22,162
Move|25,495
Move|29,244
Move|32,158
Move|36,212
Move|39,226
Move|43,21
TradeValue|15
