Name|Happiny
Number|440
ExperienceType|0
BaseExperience|110
Type1|Normal
Type2|
CatchRate|130
BaseFriendship|140
EggGroup1|None
EggGroup2|None
BaseEggSteps|10455
EggPokemon|440
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|30
Ability2|32
HiddenAbility|132
EggMoves|312,68,203,356,215,270,387,118,426,363,217,69,164
Machines|174,205,92,244,237,241,173,63,196,182,240,203,218,216,189,104,207,214,126,111,197,156,213,34,36,99,102,117,118,121,135,86,164,352,351,53,263,290,409,278,416,445,363,496,510,526,590,148
BaseHP|100
BaseAttack|5
BaseDefense|5
BaseSpAttack|15
BaseSpDefense|65
BaseSpeed|30
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It carefully carries a round that it thinks is an egg. It's bothered by how curly its hair looks.\Playhouse Pokémon\24.4\0.6\0,148,0
Scale|0.84
Move|1,1
Move|1,204
Move|5,383
Move|9,287
Move|12,186
TradeValue|20
Item|5,126
Item|50,179
EvolutionCondition|113,holditem,179,level
EvolutionCondition|113,daytime,2,level
