Name|Mankey
Number|56
ExperienceType|1
BaseExperience|61
Type1|Fighting
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|56
IsGenderLess|0
IsMale|50
Ability1|72
Ability2|83
HiddenAbility|128
EggMoves|251,370,68,227,264,265,193,96,400,179,279,79,157
Machines|223,29,174,92,249,244,237,241,173,63,182,240,203,218,231,87,216,189,104,8,207,214,129,111,9,197,156,213,168,7,5,25,34,36,6,66,68,69,99,85,102,117,118,130,164,264,339,263,290,411,416,445,363,468,479,490,496,523,526,612,590,431
BaseHP|40
BaseAttack|80
BaseDefense|35
BaseSpAttack|35
BaseSpDefense|45
BaseSpeed|70
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is extremely ill-tempered. Groups of them will attack any handy target for no reason.\Pig Monkey Pokémon\28\0.5\0,148,0
Scale|0.7
Move|1,10
Move|1,43
Move|1,67
Move|1,116
Move|1,343
Move|9,154
Move|13,2
Move|17,69
Move|21,103
Move|25,372
Move|33,207
Move|37,238
Move|41,37
Move|45,386
Move|49,370
Move|53,515
EvolutionCondition|57,Level,28,Level
Item|5,2044
TradeValue|15
