Name|Rhyhorn
Number|111
ExperienceType|3
BaseExperience|69
Type1|Ground
Type2|Rock
CatchRate|120
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|111
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|31
Ability2|69
HiddenAbility|120
EggMoves|68,242,306,174,407,424,470,423,231,222,368,563,179,431,130,422,157,14,228,37
Machines|29,174,205,46,92,192,249,237,241,173,59,63,196,182,203,218,231,87,89,216,91,189,104,207,214,201,126,197,156,213,168,14,25,32,36,38,58,68,99,85,90,102,117,130,157,164,351,53,317,263,290,406,371,416,397,444,446,445,363,398,496,510,523,590,70,431,560
BaseHP|80
BaseAttack|85
BaseDefense|95
BaseSpAttack|30
BaseSpDefense|30
BaseSpeed|25
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It is inept at turning because of its four short legs. It can only charge and run in one direction.\Spikes Pokémon\115\1\0,148,0
Scale|1
Move|1,30
Move|1,39
Move|8,23
Move|12,31
Move|19,184
Move|23,350
Move|30,523
Move|34,498
Move|41,36
Move|45,529
Move|52,444
Move|56,89
Move|63,32
Move|67,224
TradeValue|60
EvolutionCondition|112,Level,42,Level
