Name|Servine
Number|496
ExperienceType|2
BaseExperience|145
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|495
IsGenderLess|0
CanBreed|1
Devolution|495
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|126
EggMoves|445,137,580,231,345,212,243,363,228,230,239
Machines|174,92,237,241,173,63,182,202,203,218,76,231,216,91,104,207,214,197,156,213,34,36,68,99,72,82,102,117,164,331,263,290,289,412,416,445,363,496,267,590
BaseHP|60
BaseAttack|60
BaseDefense|75
BaseSpAttack|60
BaseSpDefense|75
BaseSpeed|83
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|When it gets dirty, its leaves can't be used in photosynthesis, so it always keeps itself clean.\Grass Snake Pokémon\16\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,43
Move|1,22
Move|4,43
Move|7,22
Move|13,74
Move|16,536
Move|20,73
Move|24,72
Move|28,21
Move|32,348
Move|36,489
Move|40,202
Move|44,378
Move|48,380
Move|52,437
TradeValue|60
EvolutionCondition|497,level,36,level
