Name|Cherubi
Number|420
ExperienceType|1
BaseExperience|55
Type1|Grass
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|420
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|34
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|312,111,579,320,505,361,363,267,75,205,402,230,311,321
Machines|174,205,92,237,241,230,173,63,182,240,202,203,218,76,216,104,207,214,111,197,156,213,14,99,72,102,117,120,164,331,219,263,290,412,416,445,363,447,496,267,605,590,148
BaseHP|45
BaseAttack|35
BaseDefense|45
BaseSpAttack|62
BaseSpDefense|53
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It evolves by sucking the energy out of the small ball where it had been storing nutrients.\Cherry Pokémon\3.3\0.4\0,148,0
Scale|0.7
Move|1,234
Move|1,33
Move|7,74
Move|10,73
Move|13,270
Move|19,345
Move|22,241
Move|28,388
Move|31,36
Move|37,76
Move|40,381
Move|47,572
TradeValue|20
Item|5,109
EvolutionCondition|421,level,25,level
