Name|Sandslash
Number|28
ExperienceType|1
BaseExperience|158
Type1|Ground
Type2|
CatchRate|90
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|27
IsGenderLess|0
IsMale|50
Ability1|8
Ability2|Nothing
HiddenAbility|146
EggMoves|498,68,306,203,175,232,341,400,431,563,229,219,14,157
Machines|223,29,174,205,92,249,237,241,173,63,182,203,218,231,89,216,91,189,104,207,214,201,129,111,197,156,213,168,210,14,32,34,36,38,66,68,69,99,90,102,117,130,157,164,264,219,280,317,332,263,290,411,374,421,416,444,360,446,445,404,363,398,468,496,523,590,15,70,431
BaseHP|75
BaseAttack|100
BaseDefense|110
BaseSpAttack|45
BaseSpDefense|55
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|In an attempt to hide itself it will run around at top speed to kick up a blinding dust storm.\Mouse Pokémon\29.5\1\0,148,0
Scale|1
Move|1,10
Move|1,28
Move|1,40
Move|1,111
Move|3,28
Move|5,40
Move|7,205
Move|9,229
Move|11,129
Move|14,210
Move|17,222
Move|20,154
Move|22,306
Move|23,328
Move|26,163
Move|30,91
Move|34,360
Move|38,14
Move|42,201
Move|46,89
Item|5,73
TradeValue|30
