Name|Chingling
Number|433
ExperienceType|0
BaseExperience|57
Type1|Psychic
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|6630
EggPokemon|433
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|322,174,50,248,95,105,285,500,273,138
Machines|174,205,92,244,237,241,173,63,196,182,240,203,218,216,94,247,104,207,214,129,111,138,197,156,213,6,99,100,102,115,117,120,86,164,347,269,113,219,351,259,263,290,285,289,451,278,416,445,363,447,433,473,477,496,497,605,590,148
BaseHP|45
BaseAttack|30
BaseDefense|50
BaseSpAttack|65
BaseSpDefense|50
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It emits high-frequency cries that  people can’t hear. Once it starts, it can cry for an awfully long time. \Bell Pokémon\0.6\0.2\0,148,0
Scale|0.7
Move|1,35
Move|6,45
Move|9,310
Move|14,93
Move|17,253
Move|22,387
Move|25,494
TradeValue|25
Item|5,2049
EvolutionCondition|358,daytime,0;3,level
EvolutionCondition|358,friendship,220,level
