Name|Loudred
Number|294
ExperienceType|2
BaseExperience|126
Type1|Normal
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|293
IsGenderLess|0
CanBreed|1
Devolution|293
IsMale|50
Ability1|43
Ability2|Nothing
HiddenAbility|113
EggMoves|509,574,283,326,313,359,265,173,36,207
Machines|223,174,205,46,92,249,237,241,173,59,63,196,182,203,218,76,89,216,247,189,104,8,207,214,126,111,9,197,156,213,7,5,25,34,36,38,61,55,58,66,68,69,99,102,117,118,130,157,164,352,269,280,351,53,317,259,263,290,315,374,416,445,363,479,496,497,523,526,612,590,70
BaseHP|84
BaseAttack|71
BaseDefense|43
BaseSpAttack|71
BaseSpDefense|43
BaseSpeed|48
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It shouts loudly by inhaling air then uses its well-developed stomach muscles to exhale.\Big Voice Pokémon\40.5\1\0,148,0
Scale|1
Move|1,1
Move|1,253
Move|1,310
Move|1,336
Move|5,253
Move|11,310
Move|15,336
Move|20,44
Move|23,48
Move|29,23
Move|37,103
Move|43,46
Move|51,485
Move|57,156
Move|57,214
Move|65,304
TradeValue|40
Item|5,2001
EvolutionCondition|295,level,40,level
