Name|Meganium
Number|154
ExperienceType|2
BaseExperience|236
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|152
IsGenderLess|0
CanBreed|1
Devolution|153
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|102
EggMoves|246,312,34,68,175,320,580,505,275,437,73,267,287,22,378,14
Machines|29,174,92,249,237,241,230,173,63,196,182,202,203,218,76,231,89,216,189,104,207,214,197,156,213,210,25,34,36,38,68,99,72,102,117,130,164,331,263,290,412,416,445,363,447,496,523,525,267,590,15,148,431,560
BaseHP|80
BaseAttack|82
BaseDefense|100
BaseSpAttack|83
BaseSpDefense|100
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The aroma that rises from its petals contains a substance that calms aggressive feelings.\Herb Pokémon\100.5\1.8\0,148,0
Scale|1.32
Move|1,572
Move|1,33
Move|1,45
Move|1,75
Move|1,77
Move|6,75
Move|9,77
Move|12,235
Move|18,115
Move|22,345
Move|26,363
Move|32,80
Move|34,230
Move|40,113
Move|46,34
Move|54,219
Move|60,312
Move|66,76
Move|70,572
TradeValue|70
