Name|Cresselia
Number|488
ExperienceType|3
BaseExperience|270
Type1|Psychic
Type2|
CatchRate|3
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|488
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,244,237,241,173,63,196,182,240,203,218,76,216,94,247,189,104,207,214,129,138,197,156,213,210,171,34,36,38,58,99,100,102,115,117,130,86,149,161,164,347,113,219,263,290,285,412,451,278,416,445,363,447,433,473,477,496,590,148,560
BaseHP|120
BaseAttack|70
BaseDefense|120
BaseSpAttack|75
BaseSpDefense|130
BaseSpeed|85
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|3
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Those who sleep holding CRESSELIA’s feather are assured of joyful dreams. It is said to represent the crescent moon.\Lunar Pokémon\85.6\1.5\0,148,0
Scale|1.2
Move|1,461
Move|1,375
Move|1,427
Move|1,236
Move|1,93
Move|1,104
Move|11,219
Move|20,54
Move|29,62
Move|38,248
Move|47,163
Move|57,236
Move|66,427
Move|75,375
Move|84,461
Move|93,94
Move|99,585
TradeValue|95
