Name|Sentret
Number|161
ExperienceType|1
BaseExperience|43
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|161
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|50
Ability2|51
HiddenAbility|119
EggMoves|274,445,204,343,38,116,231,387,363,228,179,163,271,164
Machines|223,29,174,205,92,237,241,173,63,182,240,203,218,76,231,216,91,247,189,104,8,207,214,129,111,9,197,156,213,168,7,210,34,36,61,55,58,6,99,85,102,117,130,149,164,264,352,280,351,53,263,290,374,451,421,416,445,363,447,369,468,496,497,514,526,612,590,15,57,250
BaseHP|35
BaseAttack|46
BaseDefense|34
BaseSpAttack|35
BaseSpDefense|45
BaseSpeed|20
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|A very cautious Pokémon itself up using its tail to get a better view of its surroundings.\Scout Pokémon\6\0.8\0,148,0
Scale|0.92
Move|1,10
Move|1,193
Move|4,111
Move|7,98
Move|13,154
Move|16,270
Move|19,266
Move|25,21
Move|28,156
Move|31,389
Move|36,133
Move|39,226
Move|42,382
Move|47,304
TradeValue|10
Item|5,2006
EvolutionCondition|162,Level,15,Level
