Name|Vivillon
Number|666
ExperienceType|1
BaseExperience|185
Type1|Bug
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|664
IsGenderLess|0
CanBreed|1
Devolution|665
IsMale|50
Ability1|19
Ability2|14
HiddenAbility|132
EggMoves|77,476,78
Machines|174,92,244,237,241,230,173,63,182,240,202,203,218,76,216,94,104,207,214,129,138,197,156,213,168,13,18,36,99,72,102,117,164,347,113,219,332,263,290,355,412,318,416,432,445,363,365,369,496,512,522,611,590,148
BaseHP|80
BaseAttack|52
BaseDefense|50
BaseSpAttack|90
BaseSpDefense|50
BaseSpeed|89
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|The patterns on this Pokémon’s wings depend on the climate and topography of its habitat. It scatters colorful scales.\Scale Pokémon\17.0\1.2\0,148,0
Scale|1.0
Move|1,33
Move|1,81
Move|6,78
Move|15,450
TradeValue|45
