Name|Electrode
Number|101
ExperienceType|1
BaseExperience|168
Type1|Electric
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|100
IsGenderLess|1
CanBreed|1
Devolution|100
IsMale|0.0
Ability1|43
Ability2|9
HiddenAbility|106
Machines|29,174,205,92,192,237,173,63,182,240,203,218,87,216,104,207,214,129,197,156,213,168,36,38,99,85,100,102,117,120,130,86,153,164,269,113,351,259,263,290,451,416,360,445,363,496,521,528,590,148
BaseHP|60
BaseAttack|50
BaseDefense|70
BaseSpAttack|80
BaseSpDefense|80
BaseSpeed|140
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding.\Ball Pokémon\66.6\1.2\0,148,0
Scale|1.08
Move|1,602
Move|1,268
Move|1,33
Move|1,49
Move|1,209
Move|5,33
Move|8,598
Move|12,209
Move|15,205
Move|19,103
Move|22,451
Move|26,113
Move|29,486
Move|35,120
Move|40,129
Move|46,393
Move|51,360
Move|57,153
Move|62,243
TradeValue|20
