Name|Charmander
Number|4
ExperienceType|2
BaseExperience|62
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|4
IsGenderLess|0
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|94
EggMoves|314,246,187,44,68,242,349,406,407,394,264,232,200,14,251,157
Machines|223,29,174,46,92,249,237,241,173,63,182,203,218,231,225,216,91,189,104,207,214,126,129,111,9,197,156,213,7,210,5,14,25,34,36,66,68,69,99,82,102,117,130,157,164,264,337,280,53,317,332,263,290,315,374,261,421,416,445,363,468,488,496,497,510,612,590,15,70
BaseHP|39
BaseAttack|52
BaseDefense|43
BaseSpAttack|60
BaseSpDefense|50
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.\Lizard Pokémon\8.5\0.6\0,148,0
Scale|0.84
Move|1,45
Move|1,289
Move|7,52
Move|10,108
Move|16,82
Move|19,184
Move|25,424
Move|28,481
Move|34,163
Move|37,53
Move|43,83
Move|46,517
EvolutionCondition|5,Level,16,Level
TradeValue|50
