Name|Sylveon
Number|700
ExperienceType|1
BaseExperience|184
Type1|Fairy
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|8960
EggPokemon|133
IsGenderLess|0
CanBreed|1
Devolution|133
IsMale|87.5
Ability1|56
Ability2|Nothing
HiddenAbility|182
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|174,92,244,237,241,173,63,182,240,203,218,231,216,91,247,189,104,207,214,129,197,156,213,25,34,36,38,99,102,115,117,130,164,347,113,219,263,290,285,416,445,363,473,496,497,514,605,590,148,560
BaseHP|95
BaseAttack|65
BaseDefense|65
BaseSpAttack|110
BaseSpDefense|130
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It sends a soothing aura from its ribbonlike feelers to calm fights.\Intertwining Pokémon\23.5\1.0\0,148,0
Scale|1
Move|1,574
Move|1,39
Move|1,33
Move|1,270
Move|5,28
Move|9,584
Move|13,98
Move|17,129
Move|20,577
Move|25,285
Move|29,581
Move|33,113
Move|37,585
Move|41,387
Move|45,244
TradeValue|50
