Name|Bouffalant
Number|626
ExperienceType|1
BaseExperience|172
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|626
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|100
Ability1|120
Ability2|157
HiddenAbility|43
EggMoves|133,562,29,442,341,189,431,130,23
Machines|174,92,249,237,173,63,182,203,218,89,216,104,207,214,197,156,213,25,32,34,36,38,99,102,117,130,164,263,290,416,445,363,496,523,526,528,590,15,57,70,431
BaseHP|95
BaseAttack|110
BaseDefense|95
BaseSpAttack|40
BaseSpDefense|95
BaseSpeed|55
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They are known to charge so wildly that if a trainer were toenter their territory, they would send it flying.\Bash Buffalo Pokémon\94.6\1.6\0,148,0
Scale|1.24
Move|1,228
Move|1,43
Move|6,99
Move|11,31
Move|16,30
Move|21,184
Move|26,279
Move|31,543
Move|36,116
Move|41,224
Move|46,179
Move|51,37
Move|56,14
Move|61,416
TradeValue|45
