Name|Dodrio
Number|85
ExperienceType|1
BaseExperience|161
Type1|Normal
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5355
EggPokemon|84
IsGenderLess|0
CanBreed|1
Devolution|84
IsMale|50
Ability1|50
Ability2|48
HiddenAbility|77
EggMoves|372,413,283,185,175,114,119,363,98,48
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,129,197,156,213,168,211,18,25,34,36,38,99,102,117,130,143,161,164,269,332,259,263,290,355,371,416,445,363,365,496,497,526,590,19,560
BaseHP|60
BaseAttack|110
BaseDefense|70
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|100
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It collects data and plans three times as wisely, but it may think too much and fall into a state of immobility.\Triple Bird Pokémon\85.2\1.8\0,148,0
Scale|1.32
Move|1,365
Move|1,64
Move|1,45
Move|1,98
Move|1,99
Move|5,98
Move|10,99
Move|14,31
Move|19,228
Move|23,253
Move|28,367
Move|34,161
Move|41,97
Move|47,65
Move|54,283
Move|60,37
TradeValue|35
Item|5,77
