Name|Gulpin
Number|316
ExperienceType|1
BaseExperience|60
Type1|Poison
Type2|
CatchRate|225
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|316
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|64
Ability2|60
HiddenAbility|82
EggMoves|151,174,194,441,189,220,123,599,138
Machines|223,174,205,92,249,237,241,173,63,182,240,202,203,218,76,216,247,189,104,8,207,214,188,111,9,138,197,156,213,7,171,34,36,58,68,99,72,102,117,120,153,164,352,331,351,263,290,289,416,445,363,474,482,496,611,612,590,70
BaseHP|70
BaseAttack|43
BaseDefense|53
BaseSpAttack|43
BaseSpDefense|53
BaseSpeed|40
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything.\Stomach Pokémon\10.3\0.4\0,148,0
Scale|0.7
Move|1,1
Move|6,281
Move|9,139
Move|14,124
Move|17,133
Move|23,227
Move|28,92
Move|34,491
Move|39,254
Move|39,255
Move|39,256
Move|40,562
Move|44,188
Move|49,380
Move|54,378
Move|59,441
TradeValue|25
Item|5,111
EvolutionCondition|317,level,26,level
