Name|Pansage
Number|511
ExperienceType|1
BaseExperience|63
Type1|Grass
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|511
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|82
Ability2|Nothing
HiddenAbility|65
EggMoves|310,331,343,574,320,437,67,345,417,272,321
Machines|174,205,92,249,237,241,230,173,63,182,202,203,218,76,231,216,91,189,104,207,214,111,197,156,213,168,36,6,99,72,102,117,118,164,331,269,317,259,263,290,412,374,421,371,278,416,445,363,447,468,490,496,512,526,267,590,148
BaseHP|50
BaseAttack|53
BaseDefense|48
BaseSpAttack|53
BaseSpDefense|48
BaseSpeed|64
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.\Grass Monkey Pokémon\10.5\0.6\0,148,0
Scale|0.84
Move|1,10
Move|1,589
Move|4,43
Move|7,122
Move|10,22
Move|13,154
Move|16,73
Move|19,44
Move|22,402
Move|25,259
Move|28,374
Move|31,512
Move|34,447
Move|37,278
Move|40,363
Move|43,242
TradeValue|15
Item|5,20035
Item|50,2006
EvolutionCondition|512,item,34,item
