Name|Heatran
Number|485
ExperienceType|3
BaseExperience|270
Type1|Fire
Type2|Steel
CatchRate|3
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|2805
EggPokemon|485
IsGenderLess|0
CanBreed|0
Devolution|0
IsMale|50
Ability1|18
Ability2|Nothing
HiddenAbility|49
Machines|174,46,92,249,237,241,173,63,182,203,218,76,89,216,189,104,207,214,126,197,156,213,25,34,36,38,99,82,102,117,120,130,164,53,263,290,315,406,416,446,445,399,363,488,496,510,267,590,70,431,560
BaseHP|91
BaseAttack|90
BaseDefense|106
BaseSpAttack|130
BaseSpDefense|106
BaseSpeed|77
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Boiling blood through its body. It makes its dwelling place in volcanic caves.\Lava Dome Pokémon\430\1.7\0,148,0
Scale|1.28
Move|1,463
Move|1,257
Move|1,414
Move|1,442
Move|1,83
Move|1,246
Move|9,43
Move|17,424
Move|25,319
Move|33,242
Move|41,184
Move|49,436
Move|57,83
Move|65,442
Move|73,414
Move|81,257
Move|88,444
Move|96,463
TradeValue|95
