Name|Kabutops
Number|141
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|Water
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|7905
EggPokemon|140
IsGenderLess|0
CanBreed|1
Devolution|140
IsMale|87.5
Ability1|33
Ability2|4
HiddenAbility|133
EggMoves|62,61,109,175,193,202,196,282,341,229,103,36,91
Machines|29,174,205,92,249,237,173,59,63,196,182,240,202,203,218,216,91,104,207,214,197,156,213,168,210,18,25,34,36,38,61,55,58,66,69,99,102,117,130,157,164,337,352,317,332,263,290,362,416,397,444,446,445,363,468,479,496,503,267,590,15,57,250,127,431,291
BaseHP|60
BaseAttack|115
BaseDefense|105
BaseSpAttack|65
BaseSpDefense|70
BaseSpeed|80
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|In the water, it tucks in its limbs to become more compact, then it wiggles its shell to swim fast.\Shellfish Pokémon\40.5\1.3\0,148,0
Scale|1.12
Move|1,400
Move|1,364
Move|1,10
Move|1,106
Move|1,71
Move|1,43
Move|6,71
Move|11,43
Move|16,341
Move|21,28
Move|26,203
Move|31,453
Move|36,72
Move|40,163
Move|45,319
Move|54,246
Move|63,378
Move|72,400
TradeValue|80
