Name|Timburr
Number|532
ExperienceType|2
BaseExperience|61
Type1|Fighting
Type2|
CatchRate|180
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|532
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|75
Ability1|62
Ability2|125
HiddenAbility|89
EggMoves|4,68,197,409,203,395,193,183,179,469
Machines|223,174,92,249,237,241,173,63,182,240,203,218,216,91,104,8,207,214,9,197,156,213,7,5,34,36,66,68,69,99,102,117,130,157,164,264,339,269,280,317,263,290,411,374,409,371,416,444,445,363,398,447,479,490,496,514,526,612,590,15,70
BaseHP|75
BaseAttack|80
BaseDefense|55
BaseSpAttack|25
BaseSpDefense|35
BaseSpeed|35
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Always carrying squared logs, they help out with construction. As they grow, they carry bigger logs.\Muscular Pokémon\12.5\0.6\0,148,0
Scale|0.84
Move|1,1
Move|1,43
Move|4,116
Move|8,117
Move|12,67
Move|16,88
Move|20,358
Move|24,498
Move|28,339
Move|31,157
Move|34,223
Move|37,184
Move|40,359
Move|43,444
Move|46,264
Move|49,276
TradeValue|20
EvolutionCondition|533,level,26,level
