Name|Mantine
Number|226
ExperienceType|3
BaseExperience|163
Type1|Water
Type2|Flying
CatchRate|25
BaseFriendship|70
EggGroup1|Water1
EggGroup2|None
BaseEggSteps|6630
EggPokemon|458
IsGenderLess|0
CanBreed|1
Devolution|458
IsMale|50
Ability1|33
Ability2|11
HiddenAbility|41
EggMoves|133,114,56,243,300,324,21,150,366,239,346,469,157
Machines|29,174,92,237,173,59,63,196,182,240,203,218,89,216,189,104,207,214,129,197,156,213,13,18,34,36,38,61,55,58,99,102,117,130,157,164,352,258,331,317,332,263,290,362,416,432,445,363,496,503,512,523,590,19,57,250,127,291
BaseHP|65
BaseAttack|40
BaseDefense|70
BaseSpAttack|80
BaseSpDefense|140
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|As it majestically swims care if REMORAID attach to it for scavenging its leftovers.\Kite Pokémon\220\2.1\0,148,0
Scale|1.44
Move|1,60
Move|1,331
Move|1,324
Move|1,33
Move|1,145
Move|1,48
Move|1,61
Move|3,48
Move|7,61
Move|11,109
Move|14,17
Move|16,29
Move|19,352
Move|23,469
Move|27,36
Move|32,97
Move|36,403
Move|39,392
Move|46,340
Move|49,56
TradeValue|50
