Name|Tynamo
Number|602
ExperienceType|3
BaseExperience|55
Type1|Electric
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|602
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|
BaseHP|35
BaseAttack|55
BaseDefense|40
BaseSpAttack|45
BaseSpDefense|40
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock.\EleFish Pokémon\0.3\0.2\0,148,0
Scale|0.7
Move|1,33
Move|1,86
Move|1,209
Move|1,451
TradeValue|35
EvolutionCondition|603,Level,39,Level
