Name|Gabite
Number|444
ExperienceType|3
BaseExperience|144
Type1|Dragon
Type2|Ground
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|10455
EggPokemon|443
IsGenderLess|0
CanBreed|1
Devolution|443
IsMale|50
Ability1|8
Ability2|Nothing
HiddenAbility|24
EggMoves|34,38,225,442,231,232,341,200,431,328,184,37,239
Machines|223,174,46,92,192,249,237,241,173,63,182,240,203,218,231,225,89,216,91,189,104,207,214,201,126,129,197,156,213,210,25,32,34,36,38,66,68,69,99,82,90,102,117,130,157,164,337,53,317,332,263,290,406,421,416,444,446,445,363,468,496,510,523,590,15,70,431,560
TutorMoves|434
BaseHP|68
BaseAttack|90
BaseDefense|65
BaseSpAttack|50
BaseSpDefense|55
BaseSpeed|82
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.\Cave Pokémon\56\1.4\0,148,0
Scale|1.16
Move|1,33
Move|1,28
Move|3,28
Move|7,82
Move|13,201
Move|15,36
Move|19,328
Move|24,530
Move|28,163
Move|33,337
Move|40,91
Move|49,407
TradeValue|60
Item|5,132
EvolutionCondition|445,Level,48,Level
