Name|Feraligatr
Number|160
ExperienceType|2
BaseExperience|239
Type1|Water
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Water1
BaseEggSteps|5355
EggPokemon|158
IsGenderLess|0
CanBreed|1
Devolution|159
IsMale|87.5
Ability1|67
Ability2|Nothing
HiddenAbility|125
EggMoves|246,453,335,242,349,260,56,8,232,300,37,352,346,313,337,157,13
Machines|223,29,174,46,92,249,237,173,59,63,196,182,240,203,218,231,89,216,91,189,104,8,207,214,197,156,213,210,5,14,25,34,36,38,61,55,58,66,68,69,99,82,102,117,130,157,164,264,337,352,258,280,317,332,263,290,411,374,406,421,416,419,445,363,468,496,503,523,525,612,590,15,57,250,127,431,560,291
BaseHP|85
BaseAttack|105
BaseDefense|100
BaseSpAttack|79
BaseSpDefense|83
BaseSpeed|78
FPHP|0
FPAttack|2
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.\Big Jaw Pokémon\88.8\2.3\0,148,0
Scale|1.52
Move|1,10
Move|1,43
Move|1,55
Move|1,99
Move|6,55
Move|8,99
Move|13,44
Move|15,184
Move|21,423
Move|24,175
Move|30,97
Move|32,242
Move|37,498
Move|45,163
Move|50,103
Move|58,37
Move|63,401
Move|71,276
Move|76,56
TradeValue|70
