Name|Metapod
Number|11
ExperienceType|1
BaseExperience|72
Type1|Bug
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|10
IsGenderLess|0
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|Nothing
Machines|
BaseHP|50
BaseAttack|20
BaseDefense|55
BaseSpAttack|25
BaseSpDefense|25
BaseSpeed|30
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell.\Cocoon Pokémon\9.9\0.7\0,148,0
Scale|0.88
Move|1,106
Move|7,106
EvolutionCondition|12,Level,10,Level
TradeValue|5
