Name|Latios
Number|381
ExperienceType|3
BaseExperience|270
Type1|Dragon
Type2|Psychic
CatchRate|3
BaseFriendship|90
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|381
IsGenderLess|0
CanBreed|0
Devolution|0
IsMale|100
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,46,92,192,244,237,241,173,63,196,182,203,218,225,216,94,189,104,207,214,129,197,156,213,211,210,13,18,34,36,38,58,99,82,102,117,143,149,161,164,337,352,351,263,290,355,412,406,416,432,445,363,468,473,477,496,590,15,19,57,250,127,560,291
TutorMoves|434
BaseHP|80
BaseAttack|90
BaseDefense|80
BaseSpAttack|130
BaseSpDefense|110
BaseSpeed|110
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It understands human speech and is highly intelligent. It is a tender Pokémon that dislikes fighting.\Eon Pokémon\60\2\0,148,0
Scale|1.4
Move|1,262
Move|1,406
Move|1,471
Move|1,477
Move|1,505
Move|1,349
Move|1,149
Move|5,377
Move|10,270
Move|15,219
Move|20,225
Move|25,182
Move|30,287
Move|35,295
Move|40,428
Move|45,105
Move|50,375
Move|55,349
Move|60,94
Move|65,505
Move|70,477
Move|75,471
Move|80,406
Move|85,262
TradeValue|90
