Name|Dracovish
Number|882
ExperienceType|3
BaseExperience|177
Type1|Water
Type2|Dragon
CatchRate|45
BaseFriendship|50
EggGroup1|None
EggGroup2|None
BaseEggSteps|9251
EggPokemon|882
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|11
Ability2|173
HiddenAbility|146
Machines|29,174,46,92,249,237,173,182,240,203,218,89,216,189,104,207,214,111,156,25,34,36,38,61,55,99,82,90,102,117,120,130,153,157,164,352,317,263,290,206,362,406,397,444,446,363,479,490,496,497,503,523,525,555,590,141,693,270,200,529,57,70,148,250,127,291
BaseHP|90
BaseAttack|90
BaseDefense|100
BaseSpAttack|70
BaseSpDefense|80
BaseSpeed|75
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Powerful legs and jaws made it the apex predator of its time. Its own overhunting of its prey was what drove it to extinction.\Fossil Pokémon\215.0\2.3\0,148,0
Scale|0.7
Move|1,33
Move|1,55
Move|7,182
Move|14,693
Move|21,246
Move|28,44
Move|35,225
Move|42,23
Move|49,162
Move|56,242
Move|63,755
Move|70,406
Move|77,407
TradeValue|60
