Name|Lumineon
Number|457
ExperienceType|1
BaseExperience|161
Type1|Water
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|456
IsGenderLess|0
CanBreed|1
Devolution|456
IsMale|50
Ability1|33
Ability2|114
HiddenAbility|41
EggMoves|97,401,62,362,204,175,60,324,150,186,321
Machines|174,92,244,237,173,59,63,196,182,240,203,218,216,104,207,214,129,197,156,213,36,61,55,58,99,102,117,164,352,263,290,362,318,416,432,445,363,496,503,267,590,57,250,127,291
BaseHP|69
BaseAttack|69
BaseDefense|76
BaseSpAttack|69
BaseSpDefense|86
BaseSpeed|91
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|LUMINEON swimming in the darkness of the deep sea look like stars shining in the night sky.\Neon Pokémon\24\1.2\0,148,0
Scale|1.08
Move|1,487
Move|1,16
Move|1,1
Move|1,55
Move|1,213
Move|6,55
Move|10,213
Move|13,240
Move|17,16
Move|22,352
Move|29,445
Move|29,219
Move|35,392
Move|42,250
Move|48,369
Move|53,340
Move|59,318
Move|66,487
TradeValue|50
Item|5,2038
