Name|Mega Venusaur
Number|3
ExperienceType|2
BaseExperience|236
Type1|Grass
Type2|Poison
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|1
IsGenderLess|0
IsMale|87.5
Ability1|47
Ability2|Nothing
HiddenAbility|47
EggMoves|133,204,174,203,202,320,275,437,345,267,80,438,130,124,580
Machines|29,174,46,92,249,237,241,230,173,63,182,202,203,218,76,89,216,189,104,207,214,188,111,197,156,213,210,14,34,36,38,99,72,90,102,117,164,331,113,219,263,290,412,416,445,363,447,474,496,497,523,267,590,15,70,148,431,560
TutorMoves|338
BaseHP|80
BaseAttack|100
BaseDefense|123
BaseSpAttack|122
BaseSpDefense|120
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.\Seed Pokémon\155.5\2.4\0,148,0
Scale|1.4
Move|1,22
Move|1,33
Move|1,45
Move|1,73
Move|3,45
Move|7,73
Move|9,22
Move|13,77
Move|13,79
Move|15,36
Move|20,75
Move|23,230
Move|28,74
Move|31,38
Move|32,80
Move|39,388
Move|45,235
Move|50,572
Move|53,76
TradeValue|70
