Name|Sandslash
Number|28
ExperienceType|1
BaseExperience|158
Type1|Ice
Type2|Steel
CatchRate|90
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|27
Devolution|27_alola
IsGenderLess|0
IsMale|50
Ability1|81
Ability2|Nothing
HiddenAbility|202
EggMoves|133,498,68,306,174,203,175,468,556,333,232,400
Machines|223,29,174,205,92,249,237,173,59,196,182,203,218,231,89,216,91,104,8,207,214,201,129,111,197,156,168,210,14,32,34,36,38,58,66,68,69,99,102,117,130,157,164,264,258,219,280,317,332,263,290,411,206,374,421,419,360,446,404,363,398,468,496,523,524,590,141,694,270,529,15,70,431
BaseHP|75
BaseAttack|100
BaseDefense|120
BaseSpAttack|25
BaseSpDefense|65
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Fleeing a volcanic eruption, it settled on a snowy mountain. As it races through the snowfields, it sends up a spray of snow.\Mouse Pokémon\55.0\1.2\0,148,0
Scale|1
Move|1,333
Move|1,368
Move|1,556
Move|1,163
Move|1,111
Move|1,301
Move|1,232
Item|5,176
TradeValue|30
EvolutionLine|27\-2\-2,28\0\-2
EvolutionLine|27_alola\-2\0,28_alola\0\0
