Name|Gligar
Number|207
ExperienceType|2
BaseExperience|86
Type1|Ground
Type2|Flying
CatchRate|60
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|5355
EggPokemon|207
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|52
Ability2|8
HiddenAbility|17
EggMoves|97,226,68,440,38,364,232,400,342,379,13,431,328,17
Machines|29,174,92,249,237,241,173,63,182,203,218,231,89,216,91,104,207,214,188,129,197,156,213,168,211,210,13,14,18,36,38,68,99,90,102,117,130,157,164,269,280,317,332,259,263,290,355,374,371,416,397,432,444,446,445,399,404,363,398,369,468,474,496,512,522,523,590,15,70
BaseHP|65
BaseAttack|75
BaseDefense|105
BaseSpAttack|35
BaseSpDefense|65
BaseSpeed|85
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It flies straight at its target's face, then clamps down on the startled victim to inject poison.\FlyScorpion Pokémon\64.8\1.1\0,148,0
Scale|1.04
Move|1,40
Move|4,28
Move|7,106
Move|10,282
Move|13,98
Move|16,210
Move|19,185
Move|22,512
Move|27,163
Move|30,369
Move|35,103
Move|40,404
Move|45,327
Move|50,14
Move|55,12
TradeValue|20
EvolutionCondition|472,holditem,183,Level
EvolutionCondition|472,daytime,0,Level
