Name|Slowpoke
Number|79
ExperienceType|1
BaseExperience|63
Type1|Water
Type2|Psychic
CatchRate|190
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Water1
BaseEggSteps|5355
EggPokemon|79
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|12
Ability2|20
HiddenAbility|144
EggMoves|562,187,335,248,382,300,214,173,23,472,428,219
Machines|29,174,92,192,244,237,241,173,59,63,196,182,240,203,218,231,89,216,91,94,247,189,104,207,214,129,138,197,156,213,171,34,36,61,55,58,6,99,90,100,102,117,130,86,149,161,164,352,347,258,113,219,53,263,290,285,362,278,416,445,363,447,433,473,477,496,497,503,510,523,590,57,70,148,250,291
BaseHP|90
BaseAttack|65
BaseDefense|65
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|15
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lazes vacantly near water. If something bites its tail, it won't even notice for a whole day.\Dopey Pokémon\36\1.2\0,148,0
Scale|1.08
Move|1,174
Move|1,281
Move|1,33
Move|5,45
Move|9,55
Move|14,93
Move|19,50
Move|23,29
Move|28,352
Move|32,428
Move|36,303
Move|41,133
Move|45,94
Move|49,240
Move|54,244
Move|58,505
TradeValue|15
Item|5,142
EvolutionCondition|80,Level,37,Level
EvolutionCondition|199,holditem,82,trade
