Name|Minun
Number|312
ExperienceType|1
BaseExperience|142
Type1|Electric
Type2|
CatchRate|200
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|5355
EggPokemon|312
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|58
Ability2|Nothing
HiddenAbility|10
EggMoves|435,381,47,186,273,164
Machines|223,174,205,92,192,237,173,63,182,240,203,218,231,87,216,189,104,207,214,129,111,9,197,156,213,5,34,36,68,69,99,85,102,117,118,86,164,113,351,263,290,374,451,416,445,363,447,496,497,521,528,590,148
BaseHP|60
BaseAttack|40
BaseDefense|50
BaseSpAttack|75
BaseSpDefense|85
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Exposure to electricity from MINUN and PLUSLE promotes blood circulation and relaxes muscles.\Cheering Pokémon\4.2\0.4\0,148,0
Scale|0.7
Move|1,417
Move|1,609
Move|1,494
Move|1,589
Move|1,45
Move|3,86
Move|7,98
Move|10,270
Move|15,209
Move|17,227
Move|21,204
Move|24,383
Move|29,486
Move|31,129
Move|35,313
Move|38,268
Move|42,87
Move|44,226
Move|48,97
Move|51,376
Move|56,417
Move|63,494
TradeValue|30
