Name|Mew
Number|151
ExperienceType|2
BaseExperience|270
Type1|Psychic
Type2|
CatchRate|45
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|151
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|28
Ability2|Nothing
HiddenAbility|Nothing
Machines|-1
BaseHP|100
BaseAttack|100
BaseDefense|100
BaseSpAttack|100
BaseSpDefense|100
BaseSpeed|100
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|Apparently those people who are pure of heart and have a strong desire to see it.\New Species Pokémon\4\0.4\0,148,0
Scale|0.7
Move|1,1
Move|1,513
Move|1,144
Move|10,5
Move|20,118
Move|30,94
Move|40,112
Move|50,246
Move|60,133
Move|70,382
Move|80,226
Move|90,417
Move|100,396
TradeValue|120
Item|100,2008
