Name|Swalot
Number|317
ExperienceType|1
BaseExperience|163
Type1|Poison
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|316
IsGenderLess|0
CanBreed|1
Devolution|316
IsMale|50
Ability1|64
Ability2|60
HiddenAbility|82
EggMoves|151,174,194,441,189,220,123,599,138
Machines|223,174,205,92,249,237,241,173,63,182,240,202,203,218,76,89,216,247,189,104,8,207,214,188,111,9,138,197,156,213,7,171,34,36,38,58,68,99,72,102,117,120,153,164,352,331,351,263,290,289,416,445,363,474,482,496,523,611,612,590,70
BaseHP|100
BaseAttack|73
BaseDefense|83
BaseSpAttack|73
BaseSpDefense|83
BaseSpeed|55
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.\Poison Bag Pokémon\80\1.7\0,148,0
Scale|1.28
Move|1,1
Move|26,34
Move|30,92
Move|1,124
Move|14,124
Move|17,133
Move|1,139
Move|9,139
Move|52,188
Move|23,227
Move|45,254
Move|45,255
Move|45,256
Move|1,281
Move|6,281
Move|66,378
Move|59,380
Move|73,441
Move|38,491
TradeValue|45
Item|5,111
