Name|Diglett
Number|50
ExperienceType|1
BaseExperience|53
Type1|Ground
Type2|Steel
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|50
IsGenderLess|0
IsMale|50
Ability1|8
Ability2|221
HiddenAbility|159
EggMoves|246,251,203,185,515,29,262,319,228,179,37
Machines|29,174,92,249,237,241,173,182,203,218,89,216,91,189,104,207,214,188,201,197,156,168,34,36,99,90,102,117,157,164,317,332,263,290,421,397,360,446,363,430,468,496,497,523,526,590,270,529,15
BaseHP|10
BaseAttack|55
BaseDefense|30
BaseSpAttack|35
BaseSpDefense|45
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Its head sports an altered form of whiskers made of metal. When in communication with its comrades, its whiskers wobble to and fro.\Mole Pokémon\1.0\0.2\0,148,0
Scale|0.7
Move|1,28
Move|1,232
Move|4,45
Move|7,310
Move|10,189
Move|14,222
Move|18,523
Move|22,389
Move|25,426
Move|28,414
Move|31,91
Move|35,442
Move|39,89
Move|43,90
EvolutionCondition|51_alola,Level,26,Level
Item|5,76
TradeValue|15
EvolutionLine|50\0\-2,51\2\-2
EvolutionLine|50_alola\0\0,51_alola\2\0
