Name|Cutiefly
Number|742
ExperienceType|1
BaseExperience|61
Type1|Bug
Type2|Fairy
CatchRate|190
BaseFriendship|70
EggGroup1|Bug
EggGroup2|Fairy
BaseEggSteps|5140
EggPokemon|742
Devolution|0
IsGenderLess|0
IsMale|50
Ability1|118
Ability2|19
HiddenAbility|175
EggMoves|226,285,516,564,585,597,600,683
Machines|174,92,244,237,241,230,173,182,202,203,218,216,94,104,207,214,129,138,156,168,210,13,18,6,99,72,100,102,115,117,118,164,347,331,113,219,332,263,290,285,355,412,318,432,404,363,365,369,477,496,502,512,522,611,605,590,141,270,148
BaseHP|40
BaseAttack|45
BaseDefense|40
BaseSpAttack|55
BaseSpDefense|40
BaseSpeed|84
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|1
CanSwim|0
Pokedex|It feeds on the nectar and pollen of flowers. Because it's able to sense auras, it can identify which flowers are about to bloom.\Bee Fly Pokémon\0.2\0.1\0,148,0
Scale|0.88
Move|1,71
Move|4,584
Move|7,78
Move|10,522
Move|13,415
Move|16,577
Move|21,230
Move|26,405
Move|31,605
Move|36,483
Move|41,312
Item|5,253
EvolutionCondition|743,Level,25,Level
TradeValue|30
