Name|Silcoon
Number|266
ExperienceType|1
BaseExperience|72
Type1|Bug
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|265
IsGenderLess|0
CanBreed|1
Devolution|265
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|68
Machines|
BaseHP|50
BaseAttack|35
BaseDefense|55
BaseSpAttack|25
BaseSpDefense|25
BaseSpeed|15
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Having wrapped silk around the branches of a tree, it quiescently awaits evolution.\Cocoon Pokémon\10\0.6\0,148,0
Scale|0.84
Move|1,106
Move|7,106
TradeValue|10
EvolutionCondition|267,Level,10,Level
EvolutionLine|265\-2\1,266\0\0,267\2\0
EvolutionLine|265\-2\1,268\0\2,269\2\2
