Name|Purrloin
Number|509
ExperienceType|1
BaseExperience|56
Type1|Dark
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|509
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|7
Ability2|84
HiddenAbility|158
EggMoves|204,383,343,227,313,185,492,6,281
Machines|174,205,92,244,237,241,173,63,182,240,203,218,231,216,247,189,104,207,214,129,111,138,197,156,213,168,210,36,6,99,102,117,86,164,269,259,263,290,289,373,421,371,416,445,399,363,447,369,468,496,497,555,590
BaseHP|41
BaseAttack|50
BaseDefense|37
BaseSpAttack|50
BaseSpDefense|37
BaseSpeed|66
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Their cute act is a ruse. They trick people and steal their valuables just to see the looks on their faces.\Devious Pokémon\10.1\0.4\0,148,0
Scale|0.7
Move|1,10
Move|3,45
Move|6,274
Move|10,28
Move|12,154
Move|15,228
Move|19,259
Move|21,252
Move|24,468
Move|28,372
Move|30,163
Move|33,445
Move|37,400
Move|39,289
Move|42,417
Move|46,389
Move|49,583
TradeValue|10
EvolutionCondition|510,Level,20,Level
