Name|Jellicent
Number|593
ExperienceType|1
BaseExperience|168
Type1|Water
Type2|Ghost
CatchRate|60
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|592
IsGenderLess|0
CanBreed|1
Devolution|592
IsMale|50
Ability1|11
Ability2|130
HiddenAbility|6
EggMoves|151,109,132,54,220,105
Machines|174,92,244,237,173,59,63,196,182,240,202,203,218,216,94,247,104,207,214,188,138,197,156,213,171,61,55,58,99,102,117,149,164,352,258,269,219,351,263,290,412,362,261,416,419,445,399,363,433,482,496,503,605,590,57,148,250,127,291
BaseHP|100
BaseAttack|60
BaseDefense|70
BaseSpAttack|85
BaseSpDefense|105
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its body is mostly seawater. It's said there's a castle of ships Jellicent have sunk on the seafloor.\Floating Pokémon\135\2.2\0,148,0
Scale|1.48
Move|1,323
Move|1,378
Move|1,145
Move|1,346
Move|1,71
Move|1,101
Move|5,71
Move|9,101
Move|13,61
Move|17,105
Move|22,352
Move|27,466
Move|32,362
Move|37,240
Move|45,506
Move|53,56
Move|61,378
Move|69,323
TradeValue|50
