Name|Helioptile
Number|694
ExperienceType|1
BaseExperience|58
Type1|Electric
Type2|Normal
CatchRate|190
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|694
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|87
Ability2|8
HiddenAbility|94
EggMoves|97,293,604,137
Machines|174,92,192,244,237,173,63,182,240,203,218,87,216,91,189,104,8,207,214,201,129,9,197,156,213,7,34,36,6,66,68,69,99,85,102,117,118,130,86,157,164,113,351,317,263,290,451,416,445,399,363,447,369,490,496,521,523,525,526,528,590,15,57,148
BaseHP|44
BaseAttack|38
BaseDefense|33
BaseSpAttack|61
BaseSpDefense|43
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement.\Generator Pokémon\6.0\0.5\0,148,0
Scale|0.8
Move|1,1
Move|1,39
Move|6,84
Move|11,268
Move|13,189
Move|17,98
Move|22,13
Move|25,570
Move|31,86
Move|35,523
Move|40,521
Move|45,582
Move|49,85
TradeValue|25
EvolutionCondition|695,item,169,item
