Name|Cleffa
Number|173
ExperienceType|0
BaseExperience|44
Type1|Fairy
Type2|
CatchRate|150
BaseFriendship|140
EggGroup1|None
EggGroup2|None
BaseEggSteps|2805
EggPokemon|173
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|25
Ability1|56
Ability2|98
HiddenAbility|132
EggMoves|133,312,187,343,313,505,118,102,581,217,150,500,321,273,164
Machines|29,174,205,92,192,244,237,241,173,63,196,182,240,203,218,76,231,216,91,94,247,189,104,207,214,126,111,138,197,156,213,171,5,25,34,36,61,55,68,69,99,100,102,115,117,118,135,86,149,164,352,113,219,351,53,263,290,374,278,416,445,363,447,473,477,496,497,510,526,590,148
BaseHP|50
BaseAttack|25
BaseDefense|28
BaseSpAttack|45
BaseSpDefense|55
BaseSpeed|15
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Because of its unusual silhouette, people believe that it came here on a meteor.\Star Shape Pokémon\3\0.3\0,148,0
Scale|0.7
Move|1,1
Move|7,47
Move|10,186
Move|1,204
Move|4,227
Move|16,345
Move|13,383
TradeValue|25
Item|50,2005
Item|5,9
Item|1,149
EvolutionCondition|35,friendship,220,Level
