Name|Golem
Number|76
ExperienceType|2
BaseExperience|218
Type1|Rock
Type2|Electric
CatchRate|45
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|4080
EggPokemon|74
Devolution|75_alola
IsGenderLess|0
CanBreed|1
IsMale|50
Ability1|42
Ability2|5
HiddenAbility|206
EggMoves|475,335,68,174,203,175,393,431,103,469
Machines|223,29,174,205,46,92,192,249,237,241,173,182,203,218,87,89,216,91,189,104,207,214,201,111,9,197,156,7,5,25,34,36,38,66,68,69,99,85,102,117,118,120,86,153,157,164,264,280,317,263,290,411,374,451,397,444,360,446,363,479,496,521,528,267,612,590,693,270,276,70,148,431,560
BaseHP|80
BaseAttack|120
BaseDefense|130
BaseSpAttack|55
BaseSpDefense|65
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|3
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It fires rocks charged with electricity. Even if the rock isn't fired that accurately, just grazing an opponent will cause numbness and fainting.\Megaton Pokémon\316.0\1.7\0,148,0
Scale|1.16
Move|1,484
Move|1,33
Move|1,111
Move|1,268
Move|1,397
Move|4,268
Move|6,397
Move|10,537
Move|12,209
Move|16,88
Move|18,479
Move|22,9
Move|24,120
Move|30,446
Move|34,350
Move|40,435
Move|44,153
Move|50,38
Move|54,444
Move|60,484
TradeValue|45
EvolutionLine|74\-4\-2,75\-2\-2,76\0\-2
EvolutionLine|74_alola\-4\0,75_alola\-2\0,76_alola\0\0
