Name|Dracozolt
Number|880
ExperienceType|3
BaseExperience|177
Type1|Electric
Type2|Dragon
CatchRate|45
BaseFriendship|50
EggGroup1|None
EggGroup2|None
BaseEggSteps|9251
EggPokemon|880
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|10
Ability2|55
HiddenAbility|146
Machines|223,174,205,92,192,249,237,241,173,182,240,203,218,231,87,89,216,189,104,207,214,126,111,9,156,5,13,18,25,34,36,38,69,99,82,85,90,102,117,120,143,86,153,157,164,264,337,269,280,351,53,317,332,263,290,315,355,206,374,451,406,409,397,432,444,446,363,398,365,479,490,496,510,521,523,525,528,612,590,693,270,200,529,15,70,148,560
BaseHP|90
BaseAttack|100
BaseDefense|90
BaseSpAttack|80
BaseSpDefense|70
BaseSpeed|75
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|In ancient times, it was unbeatable thanks to its powerful lower body, but it went extinct anyway after it depleted all its plant-based food sources.\Fossil Pokémon\190.0\1.8\0,148,0
Scale|0.7
Move|1,33
Move|1,84
Move|7,268
Move|14,332
Move|21,246
Move|28,365
Move|35,525
Move|42,23
Move|49,21
Move|56,435
Move|63,754
Move|70,406
Move|77,407
TradeValue|60
