Name|Rampardos
Number|409
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|7905
EggPokemon|408
Devolution|408
IsGenderLess|0
IsMale|87.5
Ability1|104
Ability2|Nothing
HiddenAbility|125
Machines|29,174,46,92,249,237,241,173,59,63,182,203,218,231,89,216,91,189,104,207,214,126,9,197,156,213,168,7,5,25,34,36,38,58,99,82,85,90,102,117,120,130,157,164,264,351,53,317,263,290,411,374,406,371,416,397,444,419,446,445,363,479,496,525,612,590,15,57,70,250,431,560
BaseHP|97
BaseAttack|165
BaseDefense|60
BaseSpAttack|65
BaseSpDefense|50
BaseSpeed|58
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its skull withstands impacts of any magnitude. As a result, its brain never gets the chance to grow.\Head Butt Pokémon\102.5\1.6\0,148,0
Scale|1.24
Move|1,29
Move|1,34
Move|6,116
Move|10,228
Move|15,36
Move|19,184
Move|24,372
Move|28,498
Move|30,283
Move|36,246
Move|43,428
Move|51,103
Move|58,457
TradeValue|50
