Name|Axew
Number|610
ExperienceType|3
BaseExperience|64
Type1|Dragon
Type2|
CatchRate|75
BaseFriendship|35
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|10455
EggPokemon|610
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|79
Ability2|104
HiddenAbility|127
EggMoves|68,406,283,203,116,106,231,400,13,179
Machines|223,174,46,92,249,237,241,173,63,182,240,203,218,231,225,216,91,189,104,207,214,197,156,213,210,5,14,25,34,36,99,82,102,117,130,164,264,337,352,269,317,332,263,290,206,374,406,371,416,445,404,363,398,468,496,510,590,15,70
TutorMoves|434
BaseHP|46
BaseAttack|87
BaseDefense|60
BaseSpAttack|30
BaseSpDefense|40
BaseSpeed|57
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its large tusks have a tendency to break, but each time they grow back, they grow in harder and sturdier.\Tusk Pokémon\18\0.6\0,148,0
Scale|0.84
Move|1,10
Move|4,43
Move|7,372
Move|10,82
Move|13,530
Move|16,184
Move|20,163
Move|24,206
Move|28,337
Move|32,349
Move|36,269
Move|41,406
Move|46,14
Move|51,12
Move|56,200
Move|61,416
TradeValue|40
EvolutionCondition|611,Level,38,Level
